Station Name,Adjacent building,Adjacent station,Architect,Area,Connecting line,Date of official closure,Date of official opening,Different from,Has part(s),Has use,Heritage designation,Inception,Interchange station,Localisation,Located on street,Location,Named after,Operator,Owned by,Part of,Pronunciation audio,Significant event,Street address,Transport network,Visitors per year
La Motte-Picquet - Grenelle (Paris Metro),,"Dupleix (Charles de Gaulle - Étoile, Paris Métro Line 6)Cambronne (Nation, Paris Métro Line 6)Commerce (Balard, Paris Métro Line 8)École Militaire (Pointe du Lac, Paris Métro Line 8)Avenue Émile Zola (Boulogne – Pont de Saint-Cloud, Paris Métro Line 10)Ségur (Gare d'Austerlitz, Paris Métro Line 10)",,,Paris Métro Line 6Paris Métro Line 8Paris Métro Line 10,,24 April 1906,,,,,,,"48° 50′ 56.33″ N, 2° 17′ 53.52″ E",,"15th arrondissement of Paris, Paris, Grand Paris, France",avenue de La Motte-PicquetBoulevard de Grenelle,RATP,RATP,,,,,Paris Métro,
Nanterre La Boule (Paris Metro),,"Nanterre La Folie (Saint-Denis Pleyel, Paris Métro Line 15, Paris Métro Line 15)Rueil – Suresnes Mont-Valérien (Pont de Sèvres, Paris Métro Line 15, Paris Métro Line 15)",,,Paris Métro Line 15,,,,,,,,Nanterre - La Boule (proposed building or structure),"48° 53′ 15.6″ N, 2° 12′ 05.69″ E",,,,,,,,,,Paris Métro,
Nogent - Le Perreux (Paris Metro),,"Champigny Centre (Champigny Centre, Paris Métro Line 15)Val de Fontenay (Saint-Denis Pleyel, Paris Métro Line 15)",,,Paris Métro Line 15,,,,,,,,Nogent – Le Perreux (Paris RER) (proposed building or structure),"48° 50′ 17.52″ N, 2° 29′ 41.28″ E",,Nogent-sur-MarneLe Perreux-sur-MarneFrance,,,,,,,,Paris Métro,
Nationale (Paris Metro),,"Place d'Italie (Charles de Gaulle - Étoile, Paris Métro Line 6)Chevaleret (Nation, Paris Métro Line 6)",,,Paris Métro Line 6,,1 March 1909,NationNationale ,,,,,,"48° 49′ 59.02″ N, 2° 21′ 45″ E",,"13th arrondissement of Paris, Paris, Grand Paris, France",rue Nationale,RATP,RATP,,,,,Paris Métro,
Nanterre La Folie (Paris Metro),,"La Défense (Saint-Denis Pleyel, Paris Métro Line 15)Nanterre La Boule (Pont de Sèvres, Paris Métro Line 15)Rueil (Aéroport d'Orly, Paris Métro Line 18)",,,Paris Métro Line 1Paris Métro Line 15Paris Métro Line 17Paris Métro Line 18,,,,,,,,,"48° 53′ 53.2″ N, 2° 13′ 34.28″ E",,,,,,,,,,Paris Métro,
Noisy - Champs (Paris Metro),,"Bry-Villiers-Champigny (Pont de Sèvres, Paris Métro Line 15)Chelles (Saint-Denis Pleyel, Paris Métro Line 16)Q65225628 (Châtelet, Paris Métro Line 11, proposed building or structure)",Jean-Marie Duthilleul,,Paris Métro Line 15Paris Métro Line 16Paris Métro Line 11 (proposed building or structure),,,,,,,,Noisy - Champs (proposed building or structure),"48° 50′ 34.44″ N, 2° 34′ 48″ E",,"Noisy-le-Grand, Seine-Saint-Denis, Île-de-France, Metropolitan France, France",,,,,,,,Paris Métro,
Nation (Paris Metro),,,,,,,,,,,,,,,,,,,,,,,,,
Notre-Dame-de-Lorette (Paris Metro),,"Saint-Georges (Mairie d'Aubervilliers, Paris Métro Line 12)Trinité – d'Estienne d'Orves (Mairie d'Issy, Paris Métro Line 12)",,,Paris Métro Line 12,,5 November 1910,,,,,,,"48° 52′ 34″ N, 2° 20′ 19″ E",,"9th arrondissement of Paris, Paris, Grand Paris, France",Notre-Dame-de-Lorette (Paris),RATP,RATP,,,,,Paris Métro,
Notre-Dame-des-Champs (Paris Metro),,"Rennes (Mairie d'Aubervilliers, Paris Métro Line 12)Montparnasse – Bienvenüe (Mairie d'Issy, Paris Métro Line 12)",,,Paris Métro Line 12,,5 November 1910,,,,,,,"48° 50′ 40″ N, 2° 19′ 44″ E",,"Quartier Notre-Dame-des-Champs, 6th arrondissement of Paris, Paris, Grand Paris, France",Église Notre-Dame des Champs,RATP,RATP,,,,,Paris Métro,
Oberkampf (Paris Metro),,"Richard-Lenoir (Place d'Italie, Paris Métro Line 5)République (Bobigny – Pablo Picasso, Paris Métro Line 5)République (Pont de Sèvres, Paris Métro Line 9)Saint-Ambroise (Mairie de Montreuil, Paris Métro Line 9)",,,Paris Métro Line 5Paris Métro Line 9,,17 December 1906,,,,,1907,,"48° 51′ 51.98″ N, 2° 22′ 08″ E",,"11th arrondissement of Paris, Paris, Grand Paris, France",rue Oberkampf,RATP,RATP,,,,,Paris Métro,
Odéon (Paris Metro),,"Saint-Michel (Porte de Clignancourt, Paris Métro Line 4)Saint-Germain-des-Prés (Bagneux–Lucie Aubrac, Paris Métro Line 4)Mabillon (Boulogne – Pont de Saint-Cloud, Paris Métro Line 10)Cluny – La Sorbonne (Gare d'Austerlitz, Paris Métro Line 10)",,,Paris Métro Line 4Paris Métro Line 10 (1926–),,9 January 1910,,,,,,,"48° 51′ 08.1″ N, 2° 20′ 18.81″ E",,"6th arrondissement of Paris, Paris, Grand Paris, France",carrefour de l'Odéonrue de l'Odéon,RATP,RATP,,,,,Paris Métro,
Olympiades (Paris Metro),,"Bibliothèque François Mitterrand (Saint-Denis Pleyel, Paris Métro Line 14)Maison Blanche (Aéroport d'Orly, Paris Métro Line 14, 2024–)",,,Paris Métro Line 14,,26 June 2007,,,,,,,"48° 49′ 36.84″ N, 2° 21′ 58.43″ E",,"13th arrondissement of Paris, Paris, Grand Paris, France",Les Olympiades,RATP,RATP,,,,,Paris Métro,
Opéra (Paris Metro),,,,,,,,,,,,,,"48° 52′ 15″ N, 2° 19′ 56″ E",,,,,,,,,,,
Ourcq (Paris Metro),,"Laumière (Place d'Italie, Paris Métro Line 5)Porte de Pantin (Bobigny – Pablo Picasso, Paris Métro Line 5)",,,Paris Métro Line 5,,12 October 1942,,,,,,,"48° 53′ 12.01″ N, 2° 23′ 08.02″ E",,"19th arrondissement of Paris, Paris, Grand Paris, France",Rue de l'Ourcq,RATP,RATP,,,,,Paris Métro,
Parc des Expositions (Paris Metro),Parc des Expositions,"Triangle de Gonesse (Saint-Denis Pleyel, Paris Métro Line 17, Paris Métro Line 17)Aéroport Charles-de-Gaulle Terminal 2 (Le Mesnil-Amelot, Paris Métro Line 17, Paris Métro Line 17)",,,Paris Métro Line 17,,,,,,,,Parc des Expositions (proposed building or structure),"48° 58′ 25″ N, 2° 30′ 51.98″ E",,"Villepinte, Seine-Saint-Denis, Île-de-France, Metropolitan France, France",,,,,,,,Paris Métro,
Palais Royal - Musée du Louvre (Paris Metro),,,,,,,,,,,,,,"48° 51′ 46.2″ N, 2° 20′ 08.9″ E",,,,,,,,,,,
Parmentier (Paris Metro),,,,,,,,,,,,,,"48° 51′ 55″ N, 2° 22′ 28″ E",,,,,,,,,,,
Pasteur (Paris Metro),,,,,,,,,,,,,,,,,,,,,,,,,
Le Peletier (Paris Metro),,"Chaussée d'Antin – La Fayette (Villejuif - Louis Aragon, Mairie d'Ivry, Paris Métro Line 7)Cadet (La Courneuve - 8 Mai 1945, Paris Métro Line 7)",,,Paris Métro Line 7,,6 June 1911,,,,,1911,,"48° 52′ 29″ N, 2° 20′ 22″ E",,"9th arrondissement of Paris, Paris, Grand Paris, France",rue Le Peletier,RATP,RATP,,,,,Paris Métro,
Passy (Paris Metro),,"Trocadéro (Charles de Gaulle - Étoile, Paris Métro Line 6)Bir-Hakeim (Nation, Paris Métro Line 6)",,,Paris Métro Line 6,,5 November 1903,,,,,,,"48° 51′ 26.8″ N, 2° 17′ 08.8″ E",,"16th arrondissement of Paris, Paris, Grand Paris, France",Passy,RATP,RATP,,,,,Paris Métro,
Parc du Blanc-Mesnil (Paris Metro),,"Aulnay (Noisy - Champs, Paris Métro Line 16)Le Bourget RER (Saint-Denis Pleyel, Paris Métro Line 16)",,,Paris Métro Line 16,,,,,,,,,"48° 56′ 44.52″ N, 2° 27′ 47.52″ E",,,,,,,,,,Paris Métro,
Pelleport (Paris Metro),,"Gambetta (Gambetta, Paris Métro Line 3bis)Saint-Fargeau (Porte des Lilas, Paris Métro Line 3bis)",,,Paris Métro Line 3bis,,27 November 1921,,,,,,,"48° 52′ 07″ N, 2° 24′ 06.01″ E",,"20th arrondissement of Paris, Paris, Grand Paris, France",,RATP,RATP,,,,,Paris Métro,
Pereire (Paris Metro),,"Porte de Champerret (Pont de Levallois – Bécon, Paris Métro Line 3)Wagram (Gallieni, Paris Métro Line 3)",,,Paris Métro Line 3,,23 May 1910,,,,,,Pereire – Levallois,"48° 53′ 04.99″ N, 2° 17′ 57.01″ E",,"17th arrondissement of Paris, Paris, Grand Paris, France",boulevard Pereire,RATP,RATP,,,,,Paris Métro,
Père Lachaise (Paris Metro),,,,,,,,,,,,,,"48° 51′ 47″ N, 2° 23′ 15″ E",,,,,,,,,,,
Pernety (Paris Metro),,"Gaîté (Les Courtilles, Saint-Denis – Université, Paris Métro Line 13)Plaisance (Châtillon - Montrouge, Paris Métro Line 13)",,,Paris Métro Line 13,,21 January 1937,,,,,,,"48° 50′ 03.01″ N, 2° 19′ 05.99″ E",,"14th arrondissement of Paris, Paris, Grand Paris, France",rue Pernety,RATP,RATP,,,,,Paris Métro,
Philippe Auguste (Paris Metro),,,,,,,,,,,,,,"48° 51′ 29″ N, 2° 23′ 27″ E",,,,,,,,,,,
Pierre et Marie Curie (Paris Metro),,"Mairie d'Ivry (Mairie d'Ivry, Paris Métro Line 7)Porte d'Ivry (La Courneuve - 8 Mai 1945, Paris Métro Line 7)",,,Paris Métro Line 7,,1 May 1946,Marie-Curie station,,,,,,"48° 48′ 55.01″ N, 2° 22′ 40.01″ E",,"Ivry-sur-Seine, Val-de-Marne, Île-de-France, Metropolitan France, France",Pierre and Marie Curie University,RATP,RATP,,,,,Paris Métro,
Picpus (Paris Metro),,,,,,,,,,,,,,"48° 50′ 42.3″ N, 2° 24′ 04″ E",,,,,,,,,,,
Place d'Italie (Paris Metro),,,,,,,,,,,,,,"48° 49′ 53″ N, 2° 21′ 20″ E",,,,,,,,,,,
Pigalle (Paris Metro),,,,,,,,,,,,,,"48° 52′ 56″ N, 2° 20′ 15″ E",,,,,,,,,,,
Place de Clichy (Paris Metro),,,,,,,,,,,,,,"48° 53′ 02″ N, 2° 19′ 39″ E",,,,,,,,,,,
Place des Fêtes (Paris Metro),,"Pré Saint-Gervais (Pré Saint-Gervais, Paris Métro Line 7bis)Botzaris (Paris Métro Line 7bis)Jourdain (Châtelet, Paris Métro Line 11)Télégraphe (Rosny-Bois-Perrier, Paris Métro Line 11)",,,Paris Métro Line 7bisParis Métro Line 11 (1935–),,13 February 1912,,,,,,,"48° 52′ 36.01″ N, 2° 23′ 35.99″ E",,"19th arrondissement of Paris, Paris, Grand Paris, France",place des Fêtes,RATP,RATP,,,,,Paris Métro,
Place Monge (Paris Metro),,"Censier – Daubenton (Villejuif - Louis Aragon, Mairie d'Ivry, Paris Métro Line 7)Jussieu (La Courneuve - 8 Mai 1945, Paris Métro Line 7)",,,Paris Métro Line 7,,15 February 1930,,,,,1930,,"48° 50′ 37″ N, 2° 21′ 07.99″ E",,"5th arrondissement of Paris, Paris, Grand Paris, France",place Monge,RATP,RATP,,,,,Paris Métro,
Plaisance (Paris Metro),,"Pernety (Les Courtilles, Saint-Denis – Université, Paris Métro Line 13)Porte de Vanves (Châtillon - Montrouge, Paris Métro Line 13)",,,Paris Métro Line 13,,21 January 1937,,,,,1937,,"48° 49′ 53″ N, 2° 18′ 49″ E",,"14th arrondissement of Paris, Paris, Grand Paris, France",Plaisance,RATP,RATP,,,,,Paris Métro,
Pointe du Lac (Paris Metro),,,,,,,,,,,,,,,,,,,,,,,,,
Poissonnière (Paris Metro),,"Cadet (Villejuif - Louis Aragon, Mairie d'Ivry, Paris Métro Line 7)Gare de l'Est (La Courneuve - 8 Mai 1945, Paris Métro Line 7)",,,Paris Métro Line 7,,5 November 1910,,,,,,,"48° 52′ 36.98″ N, 2° 20′ 53.99″ E",,9th arrondissement of Paris10th arrondissement of ParisFrance,boulevard Poissonnière,RATP,RATP,,,,,Paris Métro,
Pont de Levallois - Bécon (Paris Metro),,"Anatole France (Gallieni, Paris Métro Line 3)",,,Paris Métro Line 3,,24 September 1937,,,,,1937,,"48° 53′ 50.33″ N, 2° 16′ 50.83″ E",,"Levallois-Perret, Hauts-de-Seine, Île-de-France, Metropolitan France, France",pont de LevalloisBécon-les-Bruyères,RATP,RATP,,,,,Paris Métro,
Polytechnique (Paris Metro),,"Université Paris-Saclay (Nanterre La Folie, Paris Métro Line 18)Massy - Palaiseau (Aéroport d'Orly, Paris Métro Line 18)",,,Paris Métro Line 18,,,,,,,,,"48° 42′ 56″ N, 2° 12′ 04″ E",,"Palaiseau, Essonne, Île-de-France, Metropolitan France, France",,,,,,,,Paris Métro,
Pont Cardinet (Paris Metro),,"Porte de Clichy (Saint-Denis Pleyel, Paris Métro Line 14)Saint-Lazare (Aéroport d'Orly, Paris Métro Line 14)",,,Paris Métro Line 14,,14 December 2020,,,,,,Gare de Pont Cardinet,"48° 53′ 18.9″ N, 2° 18′ 55.39″ E",,"17th arrondissement of Paris, Paris, Grand Paris, France",,,,,,,,Paris Métro,
Pont de Bondy (Paris Metro),,"Bondy (Champigny Centre, Paris Métro Line 15)Bobigny – Pablo Picasso (Saint-Denis Pleyel, Paris Métro Line 15)",,,Paris Métro Line 15,,,,,,,,Pont de Bondy (tramway d'Île-de-France),"48° 54′ 17.64″ N, 2° 28′ 13.8″ E",,"Bondy, arrondissement of Bobigny, Seine-Saint-Denis, Île-de-France, Metropolitan France, France",,,,,,,,Paris Métro,
Pont de Sèvres (Paris Metro),,"Billancourt (Mairie de Montreuil, Paris Métro Line 9)Saint-Cloud (Saint-Denis Pleyel, Paris Métro Line 15, building or structure under construction)Issy RER (Noisy - Champs, Paris Métro Line 15, building or structure under construction)",Jean-Marie Duthilleul,,"Paris Métro Line 9Paris Métro Line 15 (building or structure under construction, 2022–)",,3 February 1934,,,,,1934,Musée de Sèvres (tramway d'Île-de-France),"48° 49′ 45.98″ N, 2° 13′ 50.99″ E",,"Boulogne-Billancourt, arrondissement of Boulogne-Billancourt, Hauts-de-Seine, Île-de-France, Metropolitan France, France",Pont de Sèvres,RATP,RATP,,,,,Paris Métro,
Pont de Neuilly (Paris Metro),,"Esplanade de La Défense (La Défense, Paris Métro Line 1)Les Sablons (Château de Vincennes, Paris Métro Line 1)",,,"Paris Métro Line 1 (Les Sablons, Esplanade de La Défense)",,29 April 1937,,,,,,,"48° 53′ 04.23″ N, 2° 15′ 35.61″ E",,"Neuilly-sur-Seine, arrondissement of Nanterre, Hauts-de-Seine, Île-de-France, Metropolitan France, France",,RATP (1949–),RATP (1949–),,,,,Paris Métro,
Pont Marie (Paris Metro),,"Sully – Morland (Villejuif - Louis Aragon, Mairie d'Ivry, Paris Métro Line 7)Châtelet (La Courneuve - 8 Mai 1945, Paris Métro Line 7)",,,Paris Métro Line 7,,16 April 1926,,,,,,,"48° 51′ 11.02″ N, 2° 21′ 27″ E",,"4th arrondissement of Paris, Paris Centre, Paris, Grand Paris, France",Pont Marie,RATP,RATP,,,,,Paris Métro,
Pont Neuf (Paris Metro),,"Châtelet (Villejuif - Louis Aragon, Mairie d'Ivry, Paris Métro Line 7)Palais Royal - Musée du Louvre (La Courneuve - 8 Mai 1945, Paris Métro Line 7)",,,Paris Métro Line 7,,16 April 1926,,,,,,,"48° 51′ 30.88″ N, 2° 20′ 31.99″ E",,"1st arrondissement of Paris, Paris Centre, Paris, Grand Paris, France",Pont Neuf,RATP,RATP,,,,,Paris Métro,
Porte d'Auteuil (Paris Metro),,,,,,,,,,,,,,"48° 50′ 53.14″ N, 2° 15′ 36.19″ E",,,,,,,,,,,
Porte d'Italie (Paris Metro),,"Porte de Choisy (Mairie d'Ivry, Paris Métro Line 7)Maison Blanche (La Courneuve - 8 Mai 1945, Paris Métro Line 7)",,,Paris Métro Line 7,,7 March 1930,,,,,,Porte d'Italie,"48° 49′ 08.94″ N, 2° 21′ 35.34″ E",,"13th arrondissement of Paris, Paris, Grand Paris, France",porte d'Italie,RATP,RATP,,,,,Paris Métro,
Porte d'Ivry (Paris Metro),,"Pierre et Marie Curie (Mairie d'Ivry, Paris Métro Line 7)Porte de Choisy (La Courneuve - 8 Mai 1945, Paris Métro Line 7)",,,Paris Métro Line 7,,26 April 1931,,,,,,Porte d'Ivry,"48° 49′ 17.76″ N, 2° 22′ 09.62″ E",,"13th arrondissement of Paris, Paris, Grand Paris, France",porte d'Ivry,RATP,RATP,,,,,Paris Métro,
Porte d'Orléans (Paris Metro),,"Alésia (Porte de Clignancourt, Paris Métro Line 4)Mairie de Montrouge (Bagneux–Lucie Aubrac, Paris Métro Line 4)",,,Paris Métro Line 4,,30 October 1909,,,,,,Porte d'Orléans,"48° 49′ 21.36″ N, 2° 19′ 29.3″ E",,"14th arrondissement of Paris, Paris, Grand Paris, France",,RATP,RATP,,,,,Paris Métro,
Porte Dauphine (Paris Metro),,,,,,,,,,,,,,"48° 52′ 19.69″ N, 2° 16′ 37.21″ E",,,,,,,,,,,
Porte de Champerret (Paris Metro),,"Louise Michel (Pont de Levallois – Bécon, Paris Métro Line 3)Pereire (Gallieni, Paris Métro Line 3)",,,Paris Métro Line 3,,15 February 1911,,,,,,Porte de Champerret,"48° 53′ 08.99″ N, 2° 17′ 37″ E",,"17th arrondissement of Paris, Paris, Grand Paris, France",porte de Champerret,RATP,RATP,,,,,Paris Métro,
Porte de Charenton (Paris Metro),,"Porte Dorée (Balard, Paris Métro Line 8)Liberté (Pointe du Lac, Paris Métro Line 8)",,,Paris Métro Line 8,,5 May 1931,,,,,,Porte de Charenton,"48° 49′ 55.99″ N, 2° 23′ 56.54″ E",,"12th arrondissement of Paris, Paris, Grand Paris, France",Porte de Charenton,RATP,RATP,,,,,Paris Métro,
Porte de Bagnolet (Paris Metro),,"Gambetta (Pont de Levallois – Bécon, Paris Métro Line 3)Gallieni (Gallieni, Paris Métro Line 3)",,,Paris Métro Line 3,,2 April 1971,,,,,1971,Porte de Bagnolet,"48° 51′ 51.98″ N, 2° 24′ 25.99″ E",,"Quartier Saint-Fargeau, 20th arrondissement of Paris, Paris, Grand Paris, France",porte de Bagnolet,RATP,RATP,,,,,Paris Métro,
Porte de Clichy (Paris Metro),,"Mairie de Clichy (Les Courtilles, Paris Métro Line 13)Brochant (Châtillon - Montrouge, Paris Métro Line 13)Saint-Ouen (Saint-Denis Pleyel, Paris Métro Line 14, 2020–)Pont Cardinet (Aéroport d'Orly, Paris Métro Line 14, 2020–)",,,Paris Métro Line 13Paris Métro Line 14 (2021–),,20 January 1912,,,,,,Gare de la Porte de ClichyPorte de Clichy - Tribunal de Paris,"48° 53′ 38″ N, 2° 18′ 47.99″ E",,"17th arrondissement of Paris, Paris, Grand Paris, France",porte de Clichy,RATP,RATP,,,,,Paris Métro,
Porte de Choisy (Paris Metro),,"Porte d'Ivry (Mairie d'Ivry, Paris Métro Line 7)Porte d'Italie (La Courneuve - 8 Mai 1945, Paris Métro Line 7)",,,Paris Métro Line 7,,7 March 1930,,,,,1930,Porte de Choisy,"48° 49′ 11.77″ N, 2° 21′ 51.9″ E",,"13th arrondissement of Paris, Paris, Grand Paris, France",porte de Choisy,RATP,RATP,,,,,Paris Métro,
Porte de Clignancourt (Paris Metro),,"Simplon (Bagneux–Lucie Aubrac, Paris Métro Line 4)",,,Paris Métro Line 4,,21 April 1908,,,,,,Porte de Clignancourt,"48° 53′ 50.23″ N, 2° 20′ 41.2″ E",,"18th arrondissement of Paris, Paris, Grand Paris, France",porte de Clignancourt,RATP,RATP,,,,,Paris Métro,
Porte de la Villette (Paris Metro),,"Corentin Cariou (Villejuif - Louis Aragon, Mairie d'Ivry, Paris Métro Line 7)Aubervilliers – Pantin – Quatre Chemins (La Courneuve - 8 Mai 1945, Paris Métro Line 7)",,,Paris Métro Line 7,,5 November 1910,,,,,,Porte de la Villette,"48° 53′ 50.64″ N, 2° 23′ 08.12″ E",,"19th arrondissement of Paris, Paris, Grand Paris, France",porte de la Villette,RATP,RATP,,,,,Paris Métro,
Porte de la Chapelle (Paris Metro),,"Front Populaire (Mairie d'Aubervilliers, Paris Métro Line 12)Marx Dormoy (Mairie d'Issy, Paris Métro Line 12)",,,Paris Métro Line 12,,23 August 1916,,,,,,Porte de la Chapelle,"48° 53′ 50″ N, 2° 21′ 33″ E",,"18th arrondissement of Paris, Paris, Grand Paris, France",,RATP (1949–)Compagnie du chemin de fer métropolitain de Paris (1930–1948)Nord-Sud Company (1916–1929),RATP (1949–)Compagnie du chemin de fer métropolitain de Paris (1930–1948)Nord-Sud Company (1916–1929),,,,,Paris Métro,
Porte de Montreuil (Paris Metro),,"Maraîchers (Pont de Sèvres, Paris Métro Line 9)Robespierre (Mairie de Montreuil, Paris Métro Line 9)",,,Paris Métro Line 9,,10 December 1933,,,,,1933,Porte de Montreuil,"48° 51′ 13″ N, 2° 24′ 43.99″ E",,"20th arrondissement of Paris, Paris, Grand Paris, France",porte de Montreuil,RATP,RATP,,,,,Paris Métro,
Porte de Saint-Cloud (Paris Metro),,"Marcel Sembat (Pont de Sèvres, Paris Métro Line 9)Exelmans (Mairie de Montreuil, Paris Métro Line 9)",,,Paris Métro Line 9,,29 September 1923,,,,,1923,,"48° 50′ 17.02″ N, 2° 15′ 24.01″ E",,"16th arrondissement of Paris, Paris, Grand Paris, France",porte de Saint-Cloud,RATP,RATP,,,,,Paris Métro,
Porte de Vanves (Paris Metro),,"Plaisance (Les Courtilles, Saint-Denis – Université, Paris Métro Line 13)Malakoff – Plateau de Vanves (Châtillon - Montrouge, Paris Métro Line 13)",,,Paris Métro Line 13,,21 January 1937,,,,,1937,Porte de Vanves,"48° 49′ 40.58″ N, 2° 18′ 21.17″ E",,"14th arrondissement of Paris, Paris, Grand Paris, France",porte de Vanves,RATP,RATP,,,,,Paris Métro,
Porte de Versailles (Paris Metro),,"Convention (Mairie d'Aubervilliers, Paris Métro Line 12)Corentin Celton (Mairie d'Issy, Paris Métro Line 12)",,,Paris Métro Line 12,,5 November 1910,,,,,,Porte de Versailles,"48° 49′ 56″ N, 2° 17′ 16″ E",,"15th arrondissement of Paris, Paris, Grand Paris, France",porte de Versailles,RATP,RATP,,,,,Paris Métro,
Porte de Pantin (Paris Metro),,"Ourcq (Place d'Italie, Paris Métro Line 5)Hoche (Bobigny – Pablo Picasso, Paris Métro Line 5)",,,Paris Métro Line 5,,12 October 1942,,,,,,Porte de Pantin (tramway d'Île-de-France),"48° 53′ 19.17″ N, 2° 23′ 33.64″ E",,"19th arrondissement of Paris, Paris, Grand Paris, France",porte de Pantin,RATP,RATP,,,,,Paris Métro,
Porte des Lilas (Paris Metro),,"Saint-Fargeau (Gambetta, Paris Métro Line 3bis)Télégraphe (Châtelet, Paris Métro Line 11)Mairie des Lilas (Rosny-Bois-Perrier, Paris Métro Line 11)",,,Paris Métro Line 3bisParis Métro Line 11,,27 November 1921,,,,,1921,Porte des Lilas,"48° 52′ 36.98″ N, 2° 24′ 24.01″ E",,19th arrondissement of Paris20th arrondissement of ParisFrance,porte des Lilas,RATP,RATP,,,,,Paris Métro,
Porte de Saint-Ouen (Paris Metro),,"Garibaldi metro station (Saint-Denis – Université, Paris Métro Line 13)Guy Môquet (Châtillon - Montrouge, Paris Métro Line 13)",,,Paris Métro Line 13,,26 February 1911,,,,,1911,Porte de Saint-Ouen,"48° 53′ 48″ N, 2° 19′ 43″ E",,17th arrondissement of Paris18th arrondissement of ParisFrance,porte de Saint-Ouen,RATP,RATP,,,,,Paris Métro,
Porte de Vincennes (Paris Metro),,"Nation (La Défense, Paris Métro Line 1)Saint-Mandé (Château de Vincennes, Paris Métro Line 1)",,,"Paris Métro Line 1 (Saint-Mandé, Nation)",,19 July 1900,,,,,,Porte de VincennesPorte de Vincennes,"48° 50′ 50.16″ N, 2° 24′ 31.98″ E",,12th arrondissement of Paris20th arrondissement of ParisFrance,porte de Vincennes,RATP (1949–)Compagnie du chemin de fer métropolitain de Paris (1900–1948),RATP (1949–)Compagnie du chemin de fer métropolitain de Paris (1900–1948),,,,,Paris Métro,
Porte des Lilas - Cinéma (Paris Metro),,,,,La voie des Fêtes et la voie navette,1956,192127 March 1971,,,filming location,,1921,,"48° 53′ 14.4″ N, 2° 14′ 45.93″ E",,"19th arrondissement of Paris, Paris, Grand Paris, France",,,,,,,,,
Porte Dorée (Paris Metro),,"Michel Bizot (Balard, Paris Métro Line 8)Porte de Charenton (Pointe du Lac, Paris Métro Line 8)",,,Paris Métro Line 8,,5 May 1931,,,,,,Porte Dorée,"48° 50′ 07.01″ N, 2° 24′ 20.99″ E",,"12th arrondissement of Paris, Paris, Grand Paris, France",porte Dorée,RATP,RATP,,,,,Paris Métro,
Pré Saint-Gervais (Paris Metro),,,,,,,,,,,,,,"48° 52′ 48″ N, 2° 23′ 56″ E",,,,,,,,,,,
Porte Molitor (Paris Metro),,,,,Paris Métro Line 9Paris Métro Line 10,,,,,,,,,"48° 50′ 34.73″ N, 2° 15′ 22.82″ E",,"16th arrondissement of Paris, Paris, Grand Paris, France",,RATP,RATP,,,,,Paris Métro,
Pyramides (Paris Metro),,"Palais Royal - Musée du Louvre (Villejuif - Louis Aragon, Mairie d'Ivry, Paris Métro Line 7)Opéra (La Courneuve - 8 Mai 1945, Paris Métro Line 7)Madeleine (Saint-Denis Pleyel, Paris Métro Line 14)Châtelet (Aéroport d'Orly, Paris Métro Line 14)",,,Paris Métro Line 7Paris Métro Line 14 (1998–),,1 July 1916,PyramidePirámides,,,,,,"48° 51′ 57″ N, 2° 20′ 05″ E",,"1st arrondissement of Paris, Paris Centre, Paris, Grand Paris, France",rue des Pyramides,RATP,RATP,,,,,Paris Métro,
Porte Maillot (Paris Metro),,"Les Sablons (La Défense, Paris Métro Line 1)Argentine (Château de Vincennes, Paris Métro Line 1)",,,"Paris Métro Line 1 (Argentine, Les Sablons)",,19 July 1900,,,,,,Neuilly – Porte MaillotPorte Maillot,"48° 52′ 40.67″ N, 2° 16′ 54.61″ E",,16th arrondissement of Paris17th arrondissement of ParisFrance,,RATP (1949–)Compagnie du chemin de fer métropolitain de Paris (1900–1948),RATP (1949–)Compagnie du chemin de fer métropolitain de Paris (1900–1948),,,,,Paris Métro,
Quai de la Gare (Paris Metro),,"Chevaleret (Charles de Gaulle - Étoile, Paris Métro Line 6)Bercy (Nation, Paris Métro Line 6)",,,Paris Métro Line 6,,1 March 1909,,,,,,,"48° 50′ 12.98″ N, 2° 22′ 23.02″ E",,"13th arrondissement of Paris, Paris, Grand Paris, France",quai de la Gare,RATP,RATP,,,,,Paris Métro,
Pyrénées (Paris Metro),,"Belleville (Châtelet, Paris Métro Line 11)Jourdain (Rosny-Bois-Perrier, Paris Métro Line 11)",,,Paris Métro Line 11,,28 April 1935,,,,,1935,,"48° 52′ 25.97″ N, 2° 23′ 06.9″ E",,19th arrondissement of Paris20th arrondissement of ParisFrance,rue des Pyrénées,RATP,RATP,,,,,Paris Métro,
Quai de la Rapée (Paris Metro),,"Gare d'Austerlitz (Place d'Italie, Paris Métro Line 5)Bastille (Bobigny – Pablo Picasso, Paris Métro Line 5)",,,Paris Métro Line 5,,13 July 1906,,,,,,,"48° 50′ 47″ N, 2° 21′ 56.02″ E",,"12th arrondissement of Paris, Paris, Grand Paris, France",quai de la Rapée,RATP,RATP,,,,,Paris Métro,
Réaumur - Sébastopol (Paris Metro),,,,,,,,,,,,,,,,,,,,,,,,,
